Sample	chr	start	end	variant	p value	estimated CF	SD	SNPs	Windows	Quality	Cov-indicator
Pat1_t	1	1	116782815.15	del	0	0.86442231	0.02	130	120	165.9	-0.02 [0.06;-0.11]
Pat1_t	5	115428382	194892070.15	del	0	0.94347872	0	40	39	162.91	+0.1 [0.22;-0.06]
Pat1_t	11	1	145178450.15	del	0	0.47541546	0	133	131	462.9	-0.02 [0.07;-0.11]
Pat1_t	15	51529113	111209565.15	del	0	0.41156423	0.02	36	11	43.14	+0.06 [0.22;-0.12]
Pat1_t	15	59963489	106618321.15	del	0	0.46066378	0.01	32	23	87.42	+0.06 [0.24;-0.12]
Pat1_t	20	16493534	41744350.15	del	0	0.26504572	0.05	26	9	12.29	-0.04 [0.17;-0.23]
Pat1_t	20	19867407	36519195.15	del	0	0.46070697	0.02	16	2	35.04	-0.06 [0.2;-0.3]
Pat1_t	21	19670119	62664961.15	del	0	0.88384547	0.04	28	5	40.37	0 [0.16;-0.2]
Pat1_t	21	26969704	62331818.15	del	0	0.94269651	0.01	26	22	94.77	0 [0.16;-0.21]
Pat1_t	11	1	150836265.5	dup	0	1.01105072	0	132	131	683.79	-0.02 [0.07;-0.11]
Pat1_t	15	50773788	116913745.5	dup	0	0.84162035	0.06	37	7	35.53	+0.05 [0.22;-0.12]
Pat1_t	15	59963489	116852134.5	dup	0	0.99945466	0.01	32	29	145.38	+0.06 [0.24;-0.12]
